"ranking","restaurant","rating","votes","cuisine","cost_for_two","address"
1,"AB's - Absolute Barbecues","4.9","4301","European, Mediterranean, North Indian, BBQ","1,400"," 100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore"
2,"Taaza Thindi","4.9","3069","South Indian","100"," 1004, 26th Main, Next to HDFC Bank, 4th T Block, Jayanagar, Bangalore"
3,"Belgian Waffle Factory","4.9","1308","Desserts","250"," 65, Markham Road, Ashok Nagar, Brigade Road, Bangalore"
4,"Milano Ice Cream","4.9","1391","Ice Cream, Desserts","400"," 460, 2nd Cross, Krishna Temple Road, Indiranagar, Bangalore"
5,"Chianti","4.8","4222","Italian","1,500"," 12, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore"
6,"Onesta","4.8","3822","Pizza, Cafe, Italian","600"," 215, 216 & 220, Devasandra Village, Kasaba Hobli, New BEL Road, Bangalore"
7,"Brahmin's Coffee Bar","4.8","2292","South Indian","100"," Ranga Rao Road, Near Shankar Math, Shankarpuram, Near Basavanagudi, Bangalore"
8,"O.G. Variar & Sons","4.8","733","Bakery, Desserts","200"," 12th Main, 2nd Block, Rajajinagar, Bangalore"
9,"Big Brewsky","4.7","10083","Finger Food, North Indian, Italian, Continental, South Indian","1,600"," Behind MK Retail, Sarjapur Road, Bangalore"
10,"Truffles","4.7","12333","Cafe, American, Burger, Steak","800"," 28, 4th 'B' Cross, Koramangala 5th Block, Bangalore"
11,"Windmills Craftworks","4.7","4977","American, North Indian, Salad","2,500"," 331, Road 5B, EPIP Area, Next to KTPO, Whitefield, Bangalore"
12,"Flechazo","4.7","742","Asian, Mediterranean, North Indian, BBQ","1,200"," 2nd Floor, Plot 120 A3, Santosh Tower, 3rd Road, EPIP Industrial Area, Phase 1, Hoodi Village, Whitefield, Bangalore"
13,"Shri Sagar (CTR)","4.7","3191","South Indian","200"," 7th Cross, Margosa Road, Malleshwaram, Bangalore"
14,"Oota Bangalore","4.7","239","South Indian","1,700"," 331, 5B, EPIP Zone Landmarks, Near L&T Infotech, Whitefield, Bangalore"
15,"Bamboo Hut","4.7","895","Chinese, Cafe, Fast Food","650"," 5 First Floor, SPR Comforts, Jnanabharathi Main Road, Nagarbhavi Circle, Nagarbhavi, Bangalore"
